source,li_sto,la_sto,zr_sto,li_dop_sto,la_dop_sto,zr_dop_sto,rel_dens_%,conductivity,log_cond,good_cond,li_dopant,la_dopant,zr_dopant,li_dop_ionicrad,la_dop_ionicrad,zr_dop_ionicrad,li_dop_enev,la_dop_enev,zr_dop_enev
10.1016/j.ssi.2019.05.027,6.5,2.9,2,0.2,0.1,0,,5.50E-04,-3.259637311,1,ga,sr,,61,140,0,1.81,0.95,0
10.1016/j.jallcom.2019.04.274,6.66,2.94,2,0,0.06,0,91.3,3.67E-05,-4.435333936,0,,sr,,0,140,0,0,0.95,0
10.1021/acsami.7b00614,6.2,2.95,2,0.3,0.05,0,94.6,1.62E-03,-2.790484985,1,ga,rb,,61,175,0,1.81,0.82,0
10.1016/j.ssi.2017.11.027,7.05,2.95,2,0,0.05,0,,8.59E-06,-5.066006836,0,,ca,,0,126,0,0,1,0
10.1016/j.ssi.2017.11.027,7.02,2.98,2,0,0.02,0,,7.09E-06,-5.149353765,0,,ca,,0,126,0,0,1,0
10.1016/j.jallcom.2016.11.277,5.5,3,2,0.5,0,0,,5.81E-05,-4.235823868,0,ga,,,61,0,0,1.81,0,0
10.1021/acsami.6b13902,5.8,3,2,0.4,0,0,92.8,5.70E-04,-3.244125144,1,ga,,,61,0,0,1.81,0,0
10.1021/acsami.6b13902,5.95,3,2,0.35,0,0,95.1,7.10E-04,-3.148741651,1,ga,,,61,0,0,1.81,0,0
10.1016/j.ssi.2018.04.016,6.58,3,1.96,0.32,0,0,90,2.45E-04,-3.610833916,0,al,,,53,0,0,1.61,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,87.9,1.54E-05,-4.812479279,0,al,,,53,0,0,1.61,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,92,2.80E-05,-4.552841969,0,al,,,53,0,0,1.61,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,87.5,8.78E-05,-4.056505484,0,al,,,53,0,0,1.61,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,94,1.32E-04,-3.879426069,0,al,,,53,0,0,1.61,0,0
10.1039/c8ra01329b,6.24,3,2,0.3,0,0,91.2,2.10E-04,-3.677780705,0,al,,,53,0,0,1.61,0,0
10.1021/cm5008069,6.1,3,2,0.3,0,0,,7.00E-05,-4.15490196,0,ga,,,61,0,0,1.81,0,0
10.1021/acsami.6b13902,6.1,3,2,0.3,0,0,96.3,1.12E-03,-2.950781977,1,ga,,,61,0,0,1.81,0,0
10.1021/acsami.7b00614,6.1,3,2,0.3,0,0,96.3,1.12E-03,-2.950781977,1,ga,,,61,0,0,1.81,0,0
10.1016/j.jeurceramsoc.2018.06.014,6.16,3,2,0.28,0,0,,1.92E-05,-4.716698771,0,al,,,53,0,0,1.61,0,0
10.1016/j.ssi.2017.12.034,6.23,3,1.88,0.26,0,0,91.2,2.50E-04,-3.602059991,0,al,,,53,0,0,1.61,0,0
10.1016/j.jechem.2017.10.006,6.25,3,2,0.25,0,0,,9.90E-05,-4.004364805,0,al,,,53,0,0,1.61,0,0
10.1021/acsami.9b21251,6.25,3,2,0.25,0,0,95,4.41E-04,-3.355561411,1,al,,,53,0,0,1.61,0,0
10.1002/aenm.201600736,6.25,3,2,0.25,0,0,87,5.00E-04,-3.301029996,1,al,,,53,0,0,1.61,0,0
10.1021/acsami.5b12186,6.27,3,1.96,0.25,0,0,96,4.48E-04,-3.348721986,1,al,,,53,0,0,1.61,0,0
10.1016/j.matdes.2017.10.067,6.15,3,2,0.25,0,0,93,1.24E-04,-3.906578315,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,85.4,1.10E-04,-3.958607315,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,90.1,2.20E-04,-3.657577319,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,83.2,2.60E-04,-3.585026652,0,al,,,53,0,0,1.61,0,0
10.1016/j.jpowsour.2018.05.028,6.25,3,2,0.25,0,0,89.2,2.80E-04,-3.552841969,1,al,,,53,0,0,1.61,0,0
10.1021/acsami.6b13902,6.25,3,2,0.25,0,0,94.1,1.46E-03,-2.835647144,1,ga,,,61,0,0,1.81,0,0
10.1007/s10008-019-04225-5,6.25,3,2,0.25,0,0,,1.10E-03,-2.958607315,1,ga,,,61,0,0,1.81,0,0
10.1016/j.matchemphys.2012.03.054,6.25,3,2,0.25,0,0,91,3.50E-04,-3.455931956,1,ga,,,61,0,0,1.81,0,0
10.1016/j.jpowsour.2018.06.096,6.28,3,2,0.24,0,0,,3.54E-04,-3.450996738,1,al,,,53,0,0,1.61,0,0
10.1088/2053-1591/ab62ef,6.28,3,2,0.24,0,0,89.3,1.06E-04,-3.974694135,0,al,,,53,0,0,1.61,0,0
10.1073/pnas.1600422113,6.4,3,2,0.2,0,0,,2.50E-04,-3.602059991,0,al,,,53,0,0,1.61,0,0
10.1007/s10904-018-0859-y,6.4,3,2,0.2,0,0,,1.15E-04,-3.93930216,0,al,,,53,0,0,1.61,0,0
10.1016/j.matdes.2017.10.067,6.4,3,2,0.2,0,0,96,9.60E-05,-4.017728767,0,al,,,53,0,0,1.61,0,0
10.1007/s11581-020-03580-y,6.4,3,2,0.2,0,0,95.6,4.28E-04,-3.368556231,1,fe,,,63,0,0,1.83,0,0
10.1021/acs.jpcc.7b12387,6.4,3,2,0.2,0,0,,1.10E-03,-2.958607315,1,fe,,,63,0,0,1.83,0,0
10.1021/cm5008069,6.4,3,2,0.2,0,0,,9.00E-04,-3.045757491,1,ga,,,61,0,0,1.81,0,0
10.1088/2053-1591/ab2799,6.23,3,2,0.2,0,0,95.5,7.20E-04,-3.142667504,1,ga,,,61,0,0,1.81,0,0
10.1088/2053-1591/ab2799,6.91,3,2,0.2,0,0,95,4.30E-04,-3.366531544,1,ga,,,61,0,0,1.81,0,0
